temperature_c,replicate,freq_thz,n,kappa,alpha_cm-1
20,1,0.9082036827927187,1.3160907988967383,0.004406940431927434,1.6776818262146909
20,1,0.9118657944168828,1.3176073680000622,0.0070481369892460765,2.693980343222841
20,1,0.915527906041047,1.3174986246177989,0.00945403664007036,3.6280898069018224
20,1,0.9191900176652111,1.3166710233217425,0.010991727365779413,4.2350681974714925
20,1,0.9228521292893753,1.315738990313413,0.011917851859544372,4.6101946508077765
20,1,0.9265142409135395,1.3146850330776945,0.012383237079829152,4.809228894647883
20,1,0.9301763525377037,1.3137312191771013,0.012136213740671113,4.731923033931497
20,1,0.9338384641618679,1.3135490879102738,0.01134035019904044,4.439022900042415
20,1,0.9375005757860321,1.314441842927728,0.010928887851177883,4.294737987397585
20,1,0.9411626874101963,1.3155557693672721,0.011845012098457161,4.672931027598552
20,1,0.9448247990343605,1.3154164325153355,0.013657719286858029,5.409020496239699
20,1,0.9484869106585246,1.313800572518471,0.014740421316856614,5.860442374228201
20,1,0.9521490222826888,1.3119322215499565,0.014188238780712147,5.66268724316263
20,1,0.955811133906853,1.3111192085579484,0.012318552426246791,4.935383699847424
20,1,0.9594732455310172,1.3121445227850903,0.010275899939691038,4.13277628712324
20,1,0.9631353571551814,1.3146314630562828,0.009687325108177445,3.9109328780712116
20,1,0.9667974687793456,1.3167160791738026,0.011245409712055069,4.557219518673523
20,1,0.9704595804035098,1.3168149412837133,0.013492765690799022,5.488675957733387
20,1,0.974121692027674,1.3155843398068356,0.01449870527662173,5.920134823585903
20,1,0.9777838036518381,1.3146786678318785,0.014020070035025544,5.746219126391931
20,1,0.9814459152760023,1.3151213208975783,0.012845054387042103,5.284348852966527
20,1,0.9851080269001665,1.3179760861946235,0.012410974676620574,5.1248234481317185
20,1,0.9887701385243307,1.3206720164913488,0.018833841194704083,7.805907619565708
20,1,0.9924322501484949,1.3132700162882653,0.02044358175863213,8.504465373474975
20,1,0.9960943617726591,1.3117844775696956,0.01727863311850013,7.214380202680123
20,1,0.9997564733968233,1.312367026462291,0.01581176232139193,6.6261866241308125
20,1,1.0034185850209874,1.313191541896408,0.015562089093489308,6.545445318676906
20,1,1.0070806966451518,1.3136229022723853,0.01609552726755644,6.794517802637476
20,1,1.010742808269316,1.3133369808970454,0.016854162111641563,7.140637524731603
20,1,1.0144049198934801,1.3124719536417124,0.017225085961765956,7.324228854572285
20,1,1.0180670315176443,1.3116076973347033,0.016957301067578832,7.236395014097809
20,1,1.0217291431418085,1.3111904056896302,0.01648356589040466,7.059535242601526
20,1,1.0253912547659727,1.310883071356224,0.016289912530504897,7.001603653571635
20,1,1.029053366390137,1.3101117339890505,0.01606195312631506,6.928279713085537
