# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:39:58
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
4.36630304	-60.91029795
4.37362906	-65.99767976
4.38095507	-59.68458386
4.38828108	-58.99207250
4.39560709	-58.78512072
4.40293310	-57.03109673
4.41025911	-55.99187127
4.41758513	-58.92014447
4.42491114	-57.28654004
4.43223715	-58.79377139
4.43956316	-61.52163169
4.44688917	-61.73988370
4.45421519	-59.45853493
4.46154120	-69.06695339
4.46886721	-61.52579364
4.47619322	-62.61542702
4.48351923	-60.12881944
4.49084524	-60.79001962
4.49817126	-62.54625739
4.50549727	-62.91130006
4.51282328	-67.04481255
4.52014929	-60.46366439
4.52747530	-64.83631246
4.53480132	-61.26433460
4.54212733	-61.83339815
4.54945334	-61.10388496
4.55677935	-60.57494657
4.56410536	-63.92353260
4.57143137	-60.47210122
4.57875739	-69.89408821
4.58608340	-62.32460641
4.59340941	-61.62064772
4.60073542	-61.60749979
4.60806143	-64.14100223
4.61538745	-59.92212689
4.62271346	-61.52197245
4.63003947	-63.46236805
4.63736548	-68.14673933
4.64469149	-66.80785184
4.65201750	-60.32269958
4.65934352	-62.98450273
4.66666953	-69.78577138
4.67399554	-61.56134327
4.68132155	-63.16996624
4.68864756	-64.99944721
4.69597358	-67.62568468
4.70329959	-69.92256767
4.71062560	-68.74772636
4.71795161	-69.62218867
4.72527762	-61.89144633
4.73260363	-62.79707690
4.73992965	-63.91270421
4.74725566	-62.78280902
4.75458167	-69.32817283
4.76190768	-66.47158677
4.76923369	-71.88766383
4.77655971	-67.02800422
4.78388572	-67.10833163
4.79121173	-69.32764020
4.79853774	-68.06636706
4.80586375	-67.99135850
4.81318976	-65.41740815
4.82051578	-70.66204609
4.82784179	-67.16919793
4.83516780	-67.52333566
4.84249381	-68.55901578
4.84981982	-67.12163255
4.85714584	-71.09306887
4.86447185	-83.25484946
4.87179786	-71.39307574
4.87912387	-66.59620401
4.88644988	-69.26788476
4.89377589	-63.91728853
4.90110191	-72.64355107
4.90842792	-66.16334346
4.91575393	-67.82149047
4.92307994	-67.90310903
4.93040595	-63.72957088
4.93773197	-64.88200371
4.94505798	-74.88360463
4.95238399	-64.31735770
4.95971000	-62.60398964
4.96703601	-76.70028266
4.97436202	-62.26989594
4.98168804	-64.25514639
4.98901405	-66.05966040
4.99634006	-67.05667138
5.00366607	-64.54963244
5.01099208	-75.99232120
5.01831810	-65.50566054
5.02564411	-71.00892949
5.03297012	-68.18426510
5.04029613	-68.24747990
5.04762214	-62.24546271
5.05494815	-65.29254455
5.06227417	-62.64994280
5.06960018	-64.26724685
5.07692619	-68.11758366
5.08425220	-71.17428723
5.09157821	-71.80518229
5.09890423	-89.98413575
5.10623024	-75.04159547
5.11355625	-72.96649679
5.12088226	-70.56881230
5.12820827	-70.51733822
5.13553429	-62.02122812
5.14286030	-70.87312722
5.15018631	-68.27910937
5.15751232	-64.83447979
5.16483833	-61.64248807
5.17216434	-66.42195007
5.17949036	-67.71469445
5.18681637	-64.57737731
5.19414238	-68.05645015
5.20146839	-78.63802818
5.20879440	-73.98857069
5.21612042	-70.69104829
5.22344643	-69.13460002
5.23077244	-70.11147747
5.23809845	-66.44144932
5.24542446	-63.84236135
5.25275047	-65.76841108
5.26007649	-71.46249991
5.26740250	-69.02282591
5.27472851	-73.55764730
5.28205452	-70.74218562
5.28938053	-68.78274105
5.29670655	-68.71677444
5.30403256	-66.81092849
5.31135857	-68.04730653
5.31868458	-66.76200110
5.32601059	-71.48800556
5.33333660	-70.68719759
5.34066262	-70.67162025
5.34798863	-65.55430400
5.35531464	-76.71735762
5.36264065	-64.97989234
5.36996666	-68.16379391
5.37729268	-70.71166480
5.38461869	-63.57914753
5.39194470	-68.40308299
5.39927071	-81.22191903
5.40659672	-79.77187725
5.41392273	-73.54967620
5.42124875	-76.10543563
5.42857476	-69.19297488
5.43590077	-70.12953675
5.44322678	-66.89458651
5.45055279	-66.45125959
5.45787881	-69.82731003
5.46520482	-70.63427440
5.47253083	-86.31267318
5.47985684	-74.97048702
5.48718285	-78.00219604
5.49450886	-73.15463664
5.50183488	-73.92039776
5.50916089	-72.14824635
5.51648690	-68.72937533
5.52381291	-76.63612919
5.53113892	-68.26836641
5.53846494	-78.56097478
5.54579095	-69.90487790
5.55311696	-73.98765625
5.56044297	-73.40707053
5.56776898	-75.89475550
5.57509499	-78.03740974
5.58242101	-71.34779568
5.58974702	-70.59325165
5.59707303	-90.17707861
5.60439904	-74.73397531
5.61172505	-72.07021154
5.61905107	-76.99924897
5.62637708	-72.98652287
5.63370309	-82.88415014
5.64102910	-72.41593615
5.64835511	-72.56190482
5.65568112	-68.45629097
5.66300714	-71.89306988
5.67033315	-87.71298859
5.67765916	-81.41513708
5.68498517	-75.45070402
5.69231118	-80.81362627
5.69963720	-91.41358533
5.70696321	-87.72442063
5.71428922	-77.41125790
5.72161523	-71.64327299
5.72894124	-80.47798451
5.73626725	-69.82775807
5.74359327	-69.92294644
5.75091928	-77.74819704
5.75824529	-71.93532406
5.76557130	-73.86597424
5.77289731	-66.24415312
5.78022333	-69.63908486
5.78754934	-71.97954632
5.79487535	-72.54022114
5.80220136	-69.57749917
5.80952737	-74.46472118
5.81685338	-65.98265657
5.82417940	-66.44083903
5.83150541	-73.71004029
5.83883142	-70.32171252
5.84615743	-77.79542986
5.85348344	-73.11400089
5.86080946	-82.78860886
5.86813547	-76.13141961
5.87546148	-74.32040714
5.88278749	-69.14707864
5.89011350	-64.97623926
5.89743951	-72.36331782
5.90476553	-70.52235314
5.91209154	-76.61452010
5.91941755	-69.01597612
5.92674356	-70.34261470
5.93406957	-71.18259073
5.94139559	-82.32907094
5.94872160	-69.11821552
5.95604761	-82.49345518
5.96337362	-72.47127475
5.97069963	-79.46998086
5.97802564	-73.28277843
5.98535166	-64.60409016
5.99267767	-65.91409921
6.00000368	-68.57354366
6.00732969	-65.02222795
6.01465570	-66.30076405
6.02198172	-80.24299969
6.02930773	-73.88338602
6.03663374	-73.67546173
6.04395975	-81.61703823
6.05128576	-69.44365164
6.05861177	-84.87015159
6.06593779	-66.16006694
6.07326380	-77.26287096
6.08058981	-69.79422272
6.08791582	-69.21500474
6.09524183	-67.11158830
6.10256785	-89.36781248
6.10989386	-68.40470324
6.11721987	-67.12429602
6.12454588	-77.62649698
6.13187189	-75.85392786
6.13919790	-74.87042360
6.14652392	-72.47533007
6.15384993	-68.44774646
6.16117594	-67.98514565
6.16850195	-69.54126738
6.17582796	-69.12891185
6.18315398	-67.82105996
6.19047999	-68.58231389
6.19780600	-86.15293851
6.20513201	-75.90128281
6.21245802	-72.33039781
6.21978403	-66.67098028
6.22711005	-68.48365521
6.23443606	-87.75352370
6.24176207	-67.88762904
6.24908808	-68.27555549
6.25641409	-79.82513710
6.26374011	-77.07234258
6.27106612	-73.43377221
6.27839213	-90.80499627
6.28571814	-69.70279763
6.29304415	-72.10482400
6.30037016	-71.18241741
6.30769618	-65.90858225
6.31502219	-69.39131626
6.32234820	-71.64659427
6.32967421	-73.49578034
6.33700022	-79.84369947
6.34432624	-72.72268828
6.35165225	-68.52722506
6.35897826	-73.47980330
6.36630427	-70.29742426
6.37363028	-67.42986868
6.38095629	-64.42249281
6.38828231	-67.41743865
6.39560832	-85.22028261
6.40293433	-72.82902347
6.41026034	-83.99076569
6.41758635	-81.90358674
6.42491237	-75.15668681
6.43223838	-70.01727186
6.43956439	-70.17368079
6.44689040	-70.47773572
6.45421641	-71.80569474
6.46154242	-70.69402096
6.46886844	-80.11001680
6.47619445	-70.15280100
6.48352046	-72.68467961
6.49084647	-67.85367609
6.49817248	-70.98015575
6.50549850	-67.32334267
6.51282451	-65.06126318
6.52015052	-74.48372482
6.52747653	-82.18229448
6.53480254	-76.75937453
6.54212855	-75.15050439
6.54945457	-71.31309824
6.55678058	-77.06770362
6.56410659	-66.97891171
