# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:21:57
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
2.43956194	-33.21068601
2.44688795	-35.25711405
2.45421396	-36.20956137
2.46153997	-41.96020051
2.46886598	-38.68434523
2.47619199	-32.92045545
2.48351801	-32.51185358
2.49084402	-32.90867554
2.49817003	-33.07571908
2.50549604	-33.42100829
2.51282205	-33.91559912
2.52014807	-33.77484382
2.52747408	-34.21010159
2.53480009	-34.20161886
2.54212610	-34.58788651
2.54945211	-34.83540111
2.55677812	-35.39126689
2.56410414	-35.94395872
2.57143015	-37.53044280
2.57875616	-36.65602751
2.58608217	-36.75121236
2.59340818	-36.94258973
2.60073420	-36.90941839
2.60806021	-36.77570646
2.61538622	-36.02093988
2.62271223	-35.41883692
2.63003824	-38.15511799
2.63736425	-45.05860727
2.64469027	-42.62229392
2.65201628	-49.11520115
2.65934229	-37.74278317
2.66666830	-37.85087774
2.67399431	-35.28946417
2.68132033	-35.40807699
2.68864634	-41.85650162
2.69597235	-34.93496540
2.70329836	-34.31306201
2.71062437	-34.85680052
2.71795038	-35.18246365
2.72527640	-35.75808702
2.73260241	-36.57329069
2.73992842	-37.67211266
2.74725443	-39.22856308
2.75458044	-40.59655750
2.76190646	-40.63799273
2.76923247	-42.24866506
2.77655848	-46.16152874
2.78388449	-49.13594255
2.79121050	-40.09841239
2.79853651	-35.04031202
2.80586253	-34.64633567
2.81318854	-34.14407669
2.82051455	-34.15017393
2.82784056	-34.20933153
2.83516657	-34.65349447
2.84249259	-34.53995182
2.84981860	-35.38277006
2.85714461	-35.48835281
2.86447062	-36.53469521
2.87179663	-38.21035274
2.87912264	-52.92298783
2.88644866	-44.94465028
2.89377467	-37.14135920
2.90110068	-34.46533697
2.90842669	-35.27200716
2.91575270	-35.13945707
2.92307872	-36.11861834
2.93040473	-36.64111674
2.93773074	-37.32253723
2.94505675	-39.38981034
2.95238276	-41.01536544
2.95970877	-42.94397539
2.96703479	-44.22848366
2.97436080	-49.27890912
2.98168681	-42.02802040
2.98901282	-38.74108752
2.99633883	-43.28802229
3.00366485	-48.11885844
3.01099086	-46.21409610
3.01831687	-48.75471009
3.02564288	-47.74316474
3.03296889	-45.39089780
3.04029490	-38.99601276
3.04762092	-49.67735404
3.05494693	-40.31480366
3.06227294	-36.61400993
3.06959895	-35.88303351
3.07692496	-35.29682377
3.08425098	-35.21541282
3.09157699	-35.20534042
3.09890300	-35.39080104
3.10622901	-35.70905113
3.11355502	-36.66924568
3.12088103	-39.38621804
3.12820705	-51.03282391
3.13553306	-50.36710358
3.14285907	-50.86935492
3.15018508	-39.90205535
3.15751109	-38.46795635
3.16483711	-47.73968606
3.17216312	-53.49095031
3.17948913	-44.13405618
3.18681514	-43.07828091
3.19414115	-37.92997981
3.20146716	-36.38470759
3.20879318	-37.55474675
3.21611919	-39.58438031
3.22344520	-36.88027028
3.23077121	-42.90869350
3.23809722	-42.40999540
3.24542324	-37.51101092
3.25274925	-37.06549131
3.26007526	-37.16667028
3.26740127	-37.12412553
3.27472728	-37.13497155
3.28205329	-37.31997951
3.28937931	-37.35208814
3.29670532	-37.51191920
3.30403133	-37.47156890
3.31135734	-38.46921585
3.31868335	-39.49730787
3.32600937	-46.38537943
3.33333538	-53.13366292
3.34066139	-50.09378832
3.34798740	-39.92946128
3.35531341	-38.62093946
3.36263942	-38.03755948
3.36996544	-38.26279110
3.37729145	-38.00851771
3.38461746	-38.42467192
3.39194347	-38.17342509
3.39926948	-38.21535397
3.40659550	-38.32718149
3.41392151	-38.19209184
3.42124752	-38.39465575
3.42857353	-38.69158926
3.43589954	-38.99625759
3.44322555	-39.56733682
3.45055157	-39.93787908
3.45787758	-40.25802579
3.46520359	-40.32982311
3.47252960	-40.78529509
3.47985561	-40.76408741
3.48718163	-41.45228453
3.49450764	-43.41248829
3.50183365	-44.82965867
3.50915966	-42.23628023
3.51648567	-43.01889525
3.52381168	-42.89456536
3.53113770	-45.49953287
3.53846371	-71.48390587
3.54578972	-44.52936353
3.55311573	-43.54391224
3.56044174	-43.74986674
3.56776776	-45.28558090
3.57509377	-45.55567701
3.58241978	-47.82672242
3.58974579	-47.34075331
3.59707180	-48.69181445
3.60439781	-52.37520096
3.61172383	-49.89697553
3.61904984	-49.97085186
3.62637585	-48.23007595
3.63370186	-50.22307907
3.64102787	-48.72985001
3.64835389	-48.16705171
3.65567990	-55.83113805
3.66300591	-50.34638573
3.67033192	-61.13818508
3.67765793	-48.12785899
3.68498394	-45.36351153
3.69230996	-47.07041208
3.69963597	-45.61910964
3.70696198	-43.69016003
3.71428799	-44.19342192
3.72161400	-44.80311809
3.72894002	-45.40654394
3.73626603	-45.53562765
3.74359204	-46.66252301
3.75091805	-46.70249041
3.75824406	-48.29071969
3.76557007	-50.39043091
3.77289609	-52.54354421
3.78022210	-54.48011978
3.78754811	-51.99056898
3.79487412	-50.37706915
3.80220013	-55.04857836
3.80952615	-55.28612685
3.81685216	-55.41271448
3.82417817	-60.57681459
3.83150418	-49.09234682
3.83883019	-47.02081233
3.84615620	-45.98828494
3.85348222	-47.77420620
3.86080823	-50.27286699
3.86813424	-47.57177464
3.87546025	-48.26825744
3.88278626	-49.81760066
3.89011228	-49.73337111
3.89743829	-50.47632245
3.90476430	-53.23815365
3.91209031	-53.58647688
3.91941632	-57.03398378
3.92674233	-74.79031223
3.93406835	-60.62197952
3.94139436	-57.88194996
3.94872037	-55.05536532
3.95604638	-54.32067494
3.96337239	-67.18413790
3.97069841	-55.76096707
3.97802442	-57.42816527
3.98535043	-59.49093986
3.99267644	-57.01147865
4.00000245	-54.14733099
4.00732846	-54.51244299
4.01465448	-51.86647015
4.02198049	-53.54571767
4.02930650	-54.74472319
4.03663251	-54.85771507
4.04395852	-55.26450825
4.05128454	-57.85704595
4.05861055	-60.73603855
4.06593656	-58.69163326
4.07326257	-63.03606696
4.08058858	-60.85892850
4.08791459	-67.74574504
4.09524061	-63.72198239
4.10256662	-68.96899715
4.10989263	-68.44673293
4.11721864	-67.19699988
4.12454465	-66.60403586
4.13187067	-57.77428542
4.13919668	-56.21270544
4.14652269	-56.74202252
4.15384870	-53.70351209
4.16117471	-58.46833120
4.16850072	-59.44484332
4.17582674	-57.28813615
4.18315275	-55.82043027
4.19047876	-62.62259104
4.19780477	-58.65484236
4.20513078	-56.77495516
4.21245680	-62.64013432
4.21978281	-63.11513355
4.22710882	-58.21647335
4.23443483	-54.83010393
4.24176084	-63.59413734
4.24908685	-56.09941931
4.25641287	-58.20870402
4.26373888	-60.60144989
4.27106489	-62.74164327
4.27839090	-60.55933872
4.28571691	-76.29619227
4.29304293	-66.79365005
4.30036894	-69.19054877
4.30769495	-68.65085806
4.31502096	-75.87380215
4.32234697	-67.14414162
4.32967298	-65.48790030
4.33699900	-65.90229985
4.34432501	-61.40206610
4.35165102	-59.43204862
4.35897703	-64.95902160
4.36630304	-61.96324096
4.37362906	-59.70880857
4.38095507	-60.06733658
4.38828108	-56.64643467
4.39560709	-59.19487275
4.40293310	-57.92822064
4.41025911	-59.37546868
4.41758513	-57.63091390
4.42491114	-59.74327866
4.43223715	-59.40109561
4.43956316	-60.04440088
4.44688917	-61.33132088
4.45421519	-61.36211766
4.46154120	-69.51952720
4.46886721	-64.98253919
4.47619322	-62.39762783
4.48351923	-65.19811662
4.49084524	-59.52633584
4.49817126	-70.80739296
4.50549727	-61.89686222
4.51282328	-66.83539264
4.52014929	-65.31029343
4.52747530	-64.16961412
4.53480132	-66.10462285
4.54212733	-65.41165608
4.54945334	-60.70433717
4.55677935	-60.84933225
4.56410536	-61.14209923
4.57143137	-73.23298929
4.57875739	-62.25004090
4.58608340	-64.62614447
4.59340941	-63.10364854
4.60073542	-66.86860260
4.60806143	-62.94149534
4.61538745	-61.98523011
4.62271346	-62.10774352
4.63003947	-61.63126699
4.63736548	-62.05357821
4.64469149	-64.26620713
4.65201750	-61.40347155
4.65934352	-62.88887327
4.66666953	-64.49701465
4.67399554	-66.64960368
4.68132155	-67.53548009
4.68864756	-62.20079872
4.69597358	-67.01964602
4.70329959	-65.13953071
4.71062560	-69.17736757
4.71795161	-65.49805582
4.72527762	-65.98078144
4.73260363	-71.23312473
4.73992965	-72.95716457
4.74725566	-76.25718082
4.75458167	-94.07401050
4.76190768	-62.40139328
4.76923369	-62.04513058
4.77655971	-73.20893368
4.78388572	-64.13293170
4.79121173	-77.84825569
4.79853774	-62.73719241
4.80586375	-66.76065883
4.81318976	-67.73540344
4.82051578	-66.97795786
4.82784179	-74.16068113
4.83516780	-73.23170213
4.84249381	-66.43775949
4.84981982	-66.28427847
4.85714584	-64.58482211
4.86447185	-62.91115471
4.87179786	-62.03728075
4.87912387	-67.47627896
4.88644988	-70.09281361
4.89377589	-70.76240062
4.90110191	-67.14284674
4.90842792	-72.94941672
4.91575393	-77.69782946
4.92307994	-76.45173523
4.93040595	-71.86554110
4.93773197	-65.20437408
4.94505798	-66.75374529
4.95238399	-68.78500973
4.95971000	-64.81377970
4.96703601	-62.42136445
4.97436202	-70.40614286
4.98168804	-64.95176575
4.98901405	-67.88409179
4.99634006	-78.30292851
5.00366607	-75.88665604
5.01099208	-68.06944109
5.01831810	-62.55809882
5.02564411	-66.98718781
5.03297012	-63.50084281
5.04029613	-63.37597960
5.04762214	-62.34276432
5.05494815	-62.02788081
5.06227417	-75.31945697
5.06960018	-67.80200549
5.07692619	-75.65625138
5.08425220	-74.43832218
5.09157821	-70.51105952
5.09890423	-68.24277812
5.10623024	-72.06745121
5.11355625	-68.93895837
5.12088226	-69.01071269
5.12820827	-68.07180575
5.13553429	-72.09860972
5.14286030	-67.17584483
5.15018631	-76.16206857
5.15751232	-73.39855409
5.16483833	-78.74347699
5.17216434	-63.67638997
5.17949036	-67.42278803
5.18681637	-68.17504491
5.19414238	-67.16884773
5.20146839	-68.77957650
5.20879440	-69.85604917
5.21612042	-79.72702949
5.22344643	-66.68120183
5.23077244	-66.95195671
5.23809845	-67.12747247
5.24542446	-74.35841959
5.25275047	-75.16279515
5.26007649	-71.61182056
5.26740250	-72.32654702
5.27472851	-77.74398396
5.28205452	-78.76145826
5.28938053	-70.50001178
5.29670655	-66.20824439
5.30403256	-69.78381627
5.31135857	-75.64675316
5.31868458	-82.94073319
5.32601059	-76.29689025
5.33333660	-70.13361601
5.34066262	-70.55485359
5.34798863	-80.87913680
5.35531464	-70.14460314
5.36264065	-73.09224481
5.36996666	-69.28102312
5.37729268	-75.07276006
5.38461869	-64.07242474
5.39194470	-72.74848458
5.39927071	-61.97329403
5.40659672	-63.95977270
5.41392273	-64.87866876
5.42124875	-71.42351151
5.42857476	-66.56889438
5.43590077	-67.37775007
5.44322678	-74.34427977
5.45055279	-75.12436325
5.45787881	-78.11654041
5.46520482	-67.94511098
5.47253083	-63.80626675
5.47985684	-74.57271003
5.48718285	-67.77575805
5.49450886	-72.49171942
5.50183488	-70.76197006
5.50916089	-68.67799147
5.51648690	-75.68397265
5.52381291	-72.12499635
5.53113892	-81.70395532
5.53846494	-81.50142916
5.54579095	-69.54895513
5.55311696	-65.68301296
5.56044297	-67.58460631
5.56776898	-70.40623250
5.57509499	-74.21311516
5.58242101	-73.15429728
5.58974702	-65.51019274
5.59707303	-67.27567473
5.60439904	-70.13958609
5.61172505	-74.62461347
5.61905107	-68.50909075
5.62637708	-69.77315075
5.63370309	-68.03155975
5.64102910	-68.39074281
5.64835511	-68.04148573
5.65568112	-77.86217992
5.66300714	-85.05856049
5.67033315	-68.63514396
5.67765916	-69.62523796
5.68498517	-75.91848595
5.69231118	-77.23444503
5.69963720	-71.54854499
5.70696321	-67.80747721
5.71428922	-90.72477211
5.72161523	-70.42881328
5.72894124	-70.49400519
5.73626725	-66.37170932
5.74359327	-70.28413012
5.75091928	-75.93124662
5.75824529	-67.77452154
5.76557130	-73.71777120
5.77289731	-71.66787615
5.78022333	-72.62017431
5.78754934	-73.78013660
5.79487535	-75.58218961
5.80220136	-71.72605270
5.80952737	-65.54876422
5.81685338	-65.01189282
5.82417940	-73.37986567
5.83150541	-66.87477386
5.83883142	-74.48190039
5.84615743	-70.89843992
5.85348344	-69.32530198
5.86080946	-69.20888787
5.86813547	-72.97757703
5.87546148	-67.70294474
5.88278749	-67.90756751
5.89011350	-77.35506003
5.89743951	-68.72578602
5.90476553	-79.13895497
5.91209154	-81.08229319
5.91941755	-79.42806513
5.92674356	-77.93222500
5.93406957	-72.83866186
5.94139559	-72.89687319
5.94872160	-72.36025394
5.95604761	-71.58413307
5.96337362	-74.25221295
5.97069963	-71.57132962
5.97802564	-73.62427575
5.98535166	-73.69956752
5.99267767	-68.20648785
6.00000368	-68.06820427
6.00732969	-76.82821232
6.01465570	-65.60918249
6.02198172	-64.57522628
6.02930773	-70.65189140
6.03663374	-79.76758877
6.04395975	-69.35456912
6.05128576	-67.99865748
6.05861177	-79.61586596
6.06593779	-73.47887269
6.07326380	-83.27432140
6.08058981	-72.67007150
6.08791582	-68.84339711
6.09524183	-70.87839493
6.10256785	-68.53514258
6.10989386	-71.10502853
6.11721987	-67.62849441
